,,FP Growth,,,New FP Growth,,
Number of Items,Number of Transactions (x10000),Time for 1st DB scan(s),Time for mining with 2nd DB scan(s),Total time(s),Time for 1st DB scan(s),Time for mining without 2nd DB scan(s),Total time(s)
1,1,0.006849,0.026743,0.033592,3.778615,8.794226,12.572841
,5,0.029959,0.108287,0.138246,3.495327,9.578382,13.073709
,10,0.047384,0.235302,0.282686,3.867308,8.961116,12.828424
,50,0.494167,1.292675,1.786842,3.321386,8.739933,12.061319
,100,1.332434,2.599547,3.931981,2.952844,9.338865,12.291709
2,1,0.008389,0.038381,0.04677,3.905153,9.089948,12.995101
,5,0.036291,0.148517,0.184808,3.649052,8.829931,12.478983
,10,0.053233,0.304074,0.357307,3.723290,9.008787,12.732077
,50,0.872262,1.609933,2.482195,3.635585,9.357383,12.992968
,100,1.175910,3.290898,4.466808,3.290351,8.177903,11.468254
7,1,0.014880,0.082485,0.097365,3.846366,8.773406,12.619772
,5,0.068728,0.342797,0.411525,3.564453,8.943261,12.507714
,10,0.416831,0.670876,1.087707,3.896373,8.548642,12.445015
,50,0.932749,3.829312,4.762061,3.336239,9.305300,12.641539
,100,1.603243,6.466473,8.069716,3.119535,8.280690,11.400225
13,1,0.023138,0.211170,0.234308,3.716773,8.868879,12.585652
,5,0.108843,0.615759,0.724602,3.574015,8.852497,12.426512
,10,0.202382,1.102556,1.304938,3.982898,8.465991,12.448889
,50,1.398579,5.630854,7.029433,3.437229,9.453105,12.890334
,100,2.768687,10.518168,13.286855,3.349542,8.856066,12.205608
