,,FP Growth,,,New FP Growth,,
Number of Items,Number of Transactions (x10000),Time for 1st DB scan(s),Time for mining with 2nd DB scan(s),Total time(s),Time for 1st DB scan(s),Time for mining without 2nd DB scan(s),Total time(s)
1,1,0.005284,0.030063,0.035347,4.642311,38.280339,42.92265
,5,0.759468,1.654519,2.413987,3.805805,39.004925,42.81073
,10,0.047271,0.931621,0.978892,3.935213,39.181218,43.116431
,50,1.150560,1.578380,2.728940,3.749621,38.104467,41.854088
,100,1.355186,3.318962,4.674148,3.515855,38.472821,41.988676
2,1,0.007266,0.045599,0.052865,4.323616,39.899828,44.223444
,5,0.031211,0.815281,0.846492,3.901515,39.098532,43.000047
,10,0.060578,0.328245,0.388823,4.045049,38.799143,42.844192
,50,0.929988,2.465082,3.39507,3.799792,39.360025,43.159817
,100,0.851098,3.947662,4.79876,3.299029,37.052258,40.351287
7,1,0.016745,2.107256,2.124001,4.589452,39.974353,44.563805
,5,0.070759,5.534523,5.605282,3.596223,38.585937,42.18216
,10,0.125754,6.351060,6.476814,4.089940,38.418112,42.508052
,50,1.178134,35.005443,36.183577,3.876174,38.577713,42.453887
,100,1.810166,40.649590,42.459756,3.569203,38.471611,42.040814
13,1,0.023739,30.869394,30.893133,3.844074,36.131663,39.975737
,5,0.109407,1495.664736,1495.774143,3.325896,37.135383,40.461279
,10,0.229147,1558.931990,1559.161137,3.709270,38.539893,42.249163
,50,1.577674,1803.046532,1804.624206,4.324835,38.067326,42.392161
,100,3.046375,3978.968727,3982.015102,6.200273,36.726959,42.927232
