ON,,
Age,Male_count,Female_count
<20,9642,8772
20-29,16200,14307
30-39,11721,11081
40-49,9768,10880
50-59,10020,11117
60-69,7060,6543
70-79,3680,3653
80,3712,7473
,,
AB,,
Age,Male_count,Female_count
<20,8405,7926
20-29,8220,7918
30-39,8448,8053
40-49,6837,6760
50-59,4996,4891
60-69,3216,2983
70-79,1451,1457
,,
BC,,
Age,Male_count,Female_count
<20,3016,2736
20-29,5286,4708
30-39,4146,3908
40-49,3177,3361
50-59,2868,2852
60-69,1847,1726
70-79,1096,996
80,918,1324
,,
MB,,
Age,Male_count,Female_count
<20,15,
20-29,44,31
30-39,64,43
40-49,49,28
50-59,21,26
60-69,12,19
